premise	hypothesis	span_similarity	sentence_similarity
{{Former Nazi death camp guard Demjanjuk dead at 91}}	{{John Demjanjuk, convicted Nazi death camp guard, dies aged 91}}	1	1
{{Saudis to permit women to compete in Olympics}}	{{Saudi Women Allowed To Compete At Olympics}}	1	1
{{US drone strike kills 5 militants in Pakistan}}	{{Drone strike kills four suspected militants in Pakistan}}	1	1
{{Syria peace plan conditions " unacceptable, " opposition says}}	{{Syria peace dashed as deadline passes}}	1	1
{{Syrian regime denies role in Houla massacre}}	{{Syria blames rebels for Houla massacre of over 100}}	1	1
{{China stocks close mixed Friday}}	{{Chinese stocks close higher midday Friday}}	1	1
{{Mall attackers used ` less is more' strategy}}	{{In Kenya, attackers used ` less is more' strategy}}	1	1
{{6.8 quake strikes off Solomon Islands}}	{{Magnitude 6.3 quake strikes off Solomon Islands: USGS}}	1	1
{{Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people}}	{{U.S., Friends of Syria recognize opposition as sole representative}}	1	1
{{7 detained for ` house sister' scandal}}	{{China detains 7 for `` house sister'' scandal}}	1	1
{{Boeing 787 Dreamliner catches fire; stock takes a beating}}	{{Boeing stock tumbles after fire on 787 Dreamliner}}	1	1
{{Gunmen abduct seven foreign workers in Nigeria}}	{{Seven foreign workers kidnapped in Nigeria}}	1	1
{{Palestinians clash with Israeli forces in West Bank, Jerusalem}}	{{Palestinians clash with security forces in W. Bank}}	1	1
{{12 killed in bus accident in Pakistan}}	{{10 killed in road accident in NW Pakistan}}	1	1
{{North Korea Postpones Family Reunions with South}}	{{North Korea ` postpones' family unions with South Korea}}	1	1
{{David Beckham Announces Retirement From Soccer}}	{{David Beckham retires from football}}	1	1
{{Man Who Set Himself on Fire on National Mall Dies of Injuries}}	{{Man ` who set himself ablaze' on National Mall dies}}	1	1
{{Shinzo Abe Selected as Japan's Prime Minister}}	{{Shinzo Abe is Japan's prime minister}}	1	1
{{Schumacher in a coma after ski accident}}	{{Michael Schumacher still in a coma fighting for his life following skiing accident}}	1	1
{{Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic}}	{{Bradley Cooper in talks to play Lance Armstrong in biopic}}	1	1
{{EU ministers ` determined' to resolve horsemeat scandal}}	{{EU ministers hold crisis talks over horse meat scandal}}	1	1
{{Thai opposition party to boycott general election}}	{{Thai opposition announces election boycott}}	1	1
{{Jagan Reddy shifted to hospital, power crisis continues in Seemandhra}}	{{Telangana: Jagan to spend Thursday in hospital; blackout continues in Seemandhra}}	1	1
{{Brazil tied 2-2 by England as Maracana re-opens}}	{{Brazil held by England 2-2 as Maracana re-opens}}	1	1
{{George W. Bush warns against bitter immigration debate}}	{{George W Bush weighs into immigration debate}}	1	1
{{Hundreds of Bangladesh clothes factory workers ill}}	{{Hundreds fall sick in Bangladesh factory}}	1	1
{{Israel conducts airstrike on Syria}}	{{Israel launches new airstrike against Syria}}	1	1
{{` Around 100 dead or injured' after China earthquake}}	{{Hundreds dead or injured in China quake}}	1	1
{{2 French Journalists Killed in Mali}}	{{Two French journalists killed in Mali}}	1	1
{{Vehicles ablaze in collapsed Japan tunnel}}	{{Vehicles ` left burning' as smoke emits from Japan tunnel}}	1	1
{{Islamists attack north Mali city after suicide bombings}}	{{Islamists attack Malian troops in Gao}}	1	1
{{US Senate approves fiscal cliff deal}}	{{It's official: Deal reached on `` fiscal cliff''}}	1	1
