premise	hypothesis	span_similarity	sentence_similarity
The airport {{offers}} a public taxi transportation service.	The airport {{provides}} a public taxi transportation service.	1	1
This genus is a {{strongly supported clade}} of this family.	This genus is a {{weakly supported clade}} of this family.	0	0
Whilst all organizations were {{mentioned}} in its {{2006 annual report}}, in {{2007}}.	Whilst all organizations were {{cited}} in its {{annual report of 2006}}, in {{the following year}}.	1,1,1	1
{{To get decent volume}}, I have to {{jiggle the plug}}.	{{To achieve adequate sound volume}}, I have to {{wiggle the connector}}.	1,1	1
I know {{you're asleep}}.	I know {{you're wide awake}}.	0	0
I have never seen a {{show like this}} before.	I have never seen a {{show so different to this}} before.	0	0
Bementite and caryopilite were redefined as {{distinct species, and caryopilite was made equivalent to ectropite}}.	Bementite and caryopilite were redefined as {{interchangeable species, and caryopilite was made distinct from ectropite}}.	0	0
The building {{has banks of steel sash windows}} and {{a flat roof}}.	The building {{lacks banks of steel sash windows}} and {{has a sloped roof}}.	0,0	0
He {{was defeated}} in {{the 1970 General Elections}}.	He {{suffered a loss}} in {{the 1971 General Elections}}.	1,0	0
Commercial DNP is used as {{an antiseptic}} and as {{a non-selective bioaccumulating pesticide}}.	Commercial DNP is used as {{a germicidal solution}} and as {{a targeted non-bioaccumulating pesticide}}.	1,0	0
That's {{correct}}.	That's {{inaccurate}}.	0	0
Along mainland Indian coasts, appearances of whales {{very extremely common}}, excluding unconfirmed records.	Along mainland Indian coasts, appearances of whales {{are exceedingly common}}, excluding unconfirmed records.	0	0
{{The target for limiting temperature rises}} is {{2º C}}.	{{The goal for controlling temperature increases}} is {{2 degrees Celsius}}.	1,1	1
There Evers discretely flushed the {{new syllabus}}.	There Evers discretely flushed the {{latest curriculum}}.	1	1
Tifft's results {{have been unsuccessfully replicated by Croasdale and later Napier and Guthrie}}.	Tifft's results {{have not been successfully duplicated by Croasdale and subsequently by Napier and Guthrie}}.	1	1
Rich {{starred}} in NBC Blue in the early {{1940s}}.	Rich {{featured}} in NBC Blue in the early {{fifties}}.	1,0	0
It is {{false}}.	It is {{untrue}}.	1	1
It's {{not easy}}, I know.	It's {{challenging}}, I know.	0	0
David built {{his own large inventory}} of plantations.	David built {{his minuscule collection}} of plantations.	0	0
I {{know that's untruthful}}.	I {{know that's untrue}}.	1	1
TRIM {{is implemented}} under the DATA SET MANAGEMENT command (opcode 06h) the draft {{ACS-2 specification}}.	TRIM {{is not implemented}} under the DATA SET MANAGEMENT command (opcode 06h) the draft {{BES-3 specification}}.	0,0	0
It has a {{lower}} ligation efficiency.	It has a {{higher}} ligation efficiency.	0	0
There is {{no limit on the number of ships that can be operated}}.	There is {{a strict limit on the number of ships that can be operated}}.	0	0
{{Truck production}} was added {{in May 1993}}.	{{Truck manufacturing}} was added {{in July 1993}}.	1,0	0
I hope the team behind this movie {{makes more movies}}, and that they will continue to do so in their {{own weird style}}.	I hope the team behind this movie {{produces more films}}, and that they will continue to do so in their {{own unique style}}.	1,1	1
This {{rotation of experience}} is always considered to have {{a small spiritual reward}}.	This {{cycle of experience}} is always considered to have {{a significant spiritual reward}}.	1,0	0
The Russian community peaked {{at over 100,000 in the early 1920s}}.	The Russian community peaked {{with more than 100,000 residents in the early twenties}}.	1	1
Several {{small groups}} claim to continue to practice {{this faith}}.	Several {{small congregations}} claim to continue to practice {{another belief}}.	1,0	0
The United States has {{taken action to address the WTO ruling}}.	The United States has {{responded to the WTO ruling}}.	1	1
Parham Park grounds are a {{Site of Special Scientific Interest}}.	Parham Park grounds are a {{Normal Place of Unremarkable Interest}}.	0	0
Crocker's Roosevelt's Road to Russia {{was published}} by Henry Regnery Company (1959).	Crocker's Roosevelt's Road to Russia {{was rejected}} by Henry Regnery Company (1959).	0	0
The {{bus boy}} on the other hand was so rude.	The {{waitstaff}} on the other hand was so rude.	1	1
I'm not {{a bad talker}} either.	I'm not {{an eloquent speaker}} either.	0	0
Coal mining has {{not been done}} in the adjoining areas of Sugar Notch Run.	Coal mining has {{never occurred}} in the adjoining areas of Sugar Notch Run.	1	1
It was {{a step criticized by some free speech activists}}.	It was {{a move condemned by some free speech activists}}.	1	1
E105 {{has never been implicated}} in atopic asthma.	E105 {{is frequently implicated}} in atopic asthma.	0	0
The act {{also abolished all methods of discrimination}} from the Education Act of {{1979}}.	The act {{also eliminated all methods of discrimination}} from the Education Act of {{1799}}.	1,0	0
Under {{certain conditions it can increase the power of an electrical signal}}, amplifying it.	Under {{no circumstances does it increase the power of an electrical signal}}, amplifying it.	0	0
Dan Devine {{served as the head coach }} for {{the third of 23 seasons}}.	Dan Devine {{served as the assistant coach}} for {{the fourth of 23 seasons}}.	0,0	0
He is {{known for his work}} in understanding the carbon cycle in plants.	He is {{famous for his work}} in understanding the carbon cycle in plants.	0	0
The temples were then extensively {{excavated by Sir Themistocles Zammit}} during the British period.	The temples were then extensively {{dug by Sir Themistocles Zammit}} during the British period.	1	1
There is {{an oak screen memorial to Storrs in Rochester Cathedral}}.	There is {{a memorial screen made of oak dedicated to Storrs in Rochester Cathedral}}.	1	1
Illegal logging is also {{a problem in the area of the park}}.	Illegal logging is also {{an issue within the park's vicinity}}.	1	1
The production {{of Delta, Atlas-Centaur, and Titan 34D had ended}}.	The production {{ceased for Delta, Atlas-Centaur, and Titan 34D}}.	1	1
{{A tailwind}} increases {{takeoff distance required}} and decreases the climb gradient.	{{A headwind}} increases {{landing distance required}} and decreases the climb gradient.	0,0	0
It has been suggested that the {{attentional focus}} is {{variable}}.	It has been suggested that the {{focus of attention}} is {{inconstant}}.	1,0	0
Most species are found in the {{lower latitudes around the tropics}}.	Most species are found in the {{higher latitudes around the arctic}}.	0	0
On the one hand some people argue they {{vastly improved Britain's housing stock}}.	On the one hand some people argue they {{severely worsened Britain's housing stock}}.	0	0
Pre-school facilities are {{provided in the village hall}}.	Pre-school facilities are {{absent in the village hall}}.	0	0
There were books in the newspaper {{office}}.	There were books in the newspaper {{library}}.	0	0
This is {{an unlike thing}}.	This is {{an unusual thing}}.	1	1
The wokou {{raided the Japanese}} as well as China and Korea.	The wokou {{plundered the Japanese}} as well as China and Korea.	1	1
It is found in {{Japan (Kagoshima and Okinawa)}}.	It is found in {{South Korea (Seoul and Suwon)}}.	0	0
This isn't {{essentially a communications tool that does not communicate}}.	This isn't {{fundamentally a communication tool that fails to communicate}}.	1	1
Even then, these beliefs {{were not accepted}} in mainstream science until the early nineteenth century.	Even then, these beliefs {{were widely accepted}} in mainstream science until the early nineteenth century.	0	0
The {{beef}} is like {{shoe leather}} and the {{chicken dishes}} are OK.	The {{meat}} is like {{tough leather}} and the {{poultry dishes}} are OK.	1,1,1	1
In June, 1747 he was {{removed}} as a Fellow of the Royal Society of {{London}}.	In June, 1747 he was {{appointed}} as a Fellow of the Royal Society of {{Paris}}.	1,0	0
They {{are unable to use}} rods, staves, and wands as implements.	They {{lack the ability to use}} rods, staves, and wands as implements.	1	1
The district has some of the {{finest examples}} of brownstones.	The district has some of the {{worst examples}} of brownstones.	0	0
Various {{outdoor experiments}} are conducted in this area.	Various {{field experiments}} are conducted in this area.	1	1
But it can be declared {{deprecated}}: A coded character whose use is strongly discouraged.	But it can be declared {{upgraded}}: A coded character whose use is strongly discouraged.	0	0
That's {{false}}.	That's {{true}}.	0	0
The wilderness {{is in}} the Tonto and Coconino national forests.	The wilderness {{is outside}} the Tonto and Coconino national forests.	0	0
It was created to evoke the {{similarly-named, and similarly-structured, common rhododendron}}.	It was created to evoke the {{rhododendron with a similar name and structure}}.	1	1
That's {{not the same thing}}.	That's {{exactly the same thing}}.	0	0
Edward Chodorov, who also {{produced and directed the film, wrote a blandly written piece that was full of unconvincing cardboard characters}}.	Edward Chodorov, who also {{crafted and directed the film, penned a monotonously written article filled with unconvincing flat characters}}.	1	1
The Tear Osmolarity Test {{has been proposed as a test}} for dry eye disease.	The Tear Osmolarity Test {{is not considered a reliable test}} for dry eye disease.	0	0
He was {{the son of Daniel and Elizabeth Bissell}}.	He was {{born to Daniel and Elizabeth Bissell}}.	1	1
Broadband penetration {{outside of South Africa}} has been limited where it is {{exorbitantly expensive}}.	Broadband penetration {{in regions other than South Africa}} has been limited where it is {{incredibly costly}}.	1,1	1
The city's {{primary land}} does not utilize {{industrial, residential, commercial, and open spaces}}.	The city's {{secondary land}} does not utilize {{natural, recreational, agricultural, and closed spaces}}.	0,0	0
Appropriate editing and content information is required for {{the re-broadcast of the drama}}.	Appropriate editing and content information is required for {{broadcasting the drama again}}.	1	1
The process is repeated as personnel {{apply for increasingly demanding positions}}, such as special forces.	The process is repeated as personnel {{seek more challenging roles}}, such as special forces.	1	1
{{Network congestion is often taken into consideration while designing backbones}}.	{{Network congestion is frequently considered in the design of backbones}}.	1	1
{{Unfortunately}}, any virtue in this film's production work wasn't lost on a {{regrettable script}}.	{{Fortunately}}, any virtue in this film's production work wasn't lost on a {{commendable script}}.	0,1	0
If you {{are looking for a good quality Motorola Headset keep looking, this is it}}.	If you {{want a good quality Motorola Headset, this is it}}.	1	1
Lake Houhu {{was guarded by archers}} in Nanjing during the Ming dynasty.	Lake Houhu {{had no protection}} in Nanjing during the Ming dynasty.	0	0
He starts {{with flies}}.	He starts {{with spiders}}.	0	0
He was a {{candidate in the Alabama gubernatorial election}}.	He was a {{contender in the Alabama gubernatorial election}}.	1	1
That's {{not cool, man}}.	That's {{cool, man}}.	0	0
Miniature vehicles exclude: {{personal transporters, pocket bikes, go-carts, electric scooters, and golf carts}}.	Miniature vehicles exclude: {{commercial trucks, motorcycles, bicycles, manual scooters, and skateboards}}.	0	0
There is a {{Special Area of Conservation}} which covers a much smaller area.	There is a {{Regular Zone of Neglect}} which covers a much smaller area.	0	0
In Hawaii, they {{are also seen}}.	In Hawaii, they {{are rarely seen}}.	0	0
Modern studies of Drynaria roosii {{have identified in vitro effects on isolated bone cells}}.	Modern studies of Drynaria roosii {{have found no effects on isolated bone cells}}.	0	0
Natural gas service in Ephrata is provided by {{UGI Utilities}}.	Natural gas service in Ephrata is provided by {{the utility company UGI}}.	1	1
{{A 2009 assessment}} also included {{lead among the expected products}} of the mine.	{{An evaluation in 2009}} also included {{lead as one of the anticipated outputs}} of the mine.	1,1	1
We would {{recommend them to others}}.	We would {{endorse them to others}}.	1	1
Examples of these organisms {{consist of}} blackberry plants, cashew trees, and the Pando trees.	Examples of these organisms {{include}} blackberry plants, cashew trees, and the Pando trees.	0	0
Lightweight, I {{hardly notice it isn't there}}.	Lightweight, I {{barely feel its absence}}.	1	1
Climatic Change published {{a modified version in 2011}}.	Climatic Change published {{an original version in 2011}}.	0	0
This is a {{special case of the full Grothendieck period conjecture}}.	This is a {{unique instance of the complete Grothendieck period conjecture}}.	1	1
The {{leading car}} gradually shifted to the left lane.	The {{front car}} gradually shifted to the left lane.	1	1
It remains the {{world's largest collaborative biological project}}.	It remains the {{world's smallest individual biological endeavor}}.	0	0
The {{ANARESAT satellite antenna Earth station}} is part of the infrastructure.	The {{TASERYM satellite communication Earth station}} is part of the infrastructure.	0	0
The meals to be served at non-standard hours were deemed {{inappropriate}} by the Ombudsman.	The meals to be served at non-standard hours were deemed {{appropriate}} by the Ombudsman.	0	0
Its properties {{are similar to those studied in New York}}.	Its properties {{are different from those studied in New York}}.	0	0
In 2014, Nextgen {{earns}} KLAS Top Performance Honors for Ambulatory RCM Services.	In 2014, Nextgen {{wins}} KLAS Top Performance Honors for Ambulatory RCM Services.	1	1
In particular, Ilija Casule {{has suggested striking differences}} between Burushaski and the extinct Phrygian languages.	In particular, Ilija Casule {{has proposed significant differences}} between Burushaski and the extinct Phrygian languages.	1	1
It's {{not going to be easy}}.	It's {{going to be challenging}}.	1	1
The {{file browser}} offers all the options that one needs.	The {{web browser}} offers all the options that one needs.	0	0
The latter includes using the services of {{a company}}.	The latter includes using the services of {{a therapist}}.	0	0
Pure rubicline with an {{ideal potassium-free}} composition has been available {{widely}} in nature.	Pure rubicline with an {{unideal potassium-rich}} composition has been available {{rarely}} in nature.	0,0	0
This makes them {{applicable to}} tasks such as unsegmented, connected {{handwriting recognition}}.	This makes them {{suitable for}} tasks such as unsegmented, connected {{voice recognition}}.	1,0	0
The extract of {{Artocarpus lakoocha}} is effective against {{Haplorchis taichui}}.	The extract of {{this particular plant}} is effective against {{a certain type of parasitic worm}}.	1,1	1
Works by {{Dutch, French and British artists}} were always on {{periodic display}}.	Works by {{artists from the Netherlands, France, and Britain}} were always on {{permanent exhibition}}.	1,0	0
It {{is not observed in South Africa and Swaziland}}.	It {{is observed in countries other than South Africa and Swaziland}}.	1	1
The {{tachinid fly}} is a host to the Celatoria compressa.	The {{insect}} is a host to the Celatoria compressa.	1	1
Like all children, TCKs may undergo {{happiness and even joy}} from the relocation experience.	Like all children, TCKs may undergo {{joy and even euphoria}} from the relocation experience.	0	0
The BLM produces {{significant revenue}} for the United States budget.	The BLM produces {{substantial income}} for the United States budget.	1	1
The shipping time was {{also very quick}}!	The shipping time was {{surprisingly slow}}!	0	0
The {{SASR had recently developed a domestic counter-terrorism capability}} {{establishing the Tactical Assault Group}}.	The {{SASR recently advanced its capability for domestic counter-terrorism}} {{by creating the Tactical Assault Group}}.	1,1	1
The service was {{terrible}}.	The service was {{excellent}}.	0	0
District Court Judge {{Richard W. Roberts}} {{dismissed}} Walpin's wrongful-termination lawsuit.	District Court Judge {{Linda B. Holzmann}} {{rejected}} Walpin's wrongful-termination lawsuit.	0,1	0
It's {{that big of a deal}}.	It's {{not that significant}}.	0	0
That {{was not necessary}}.	That {{was not required}}.	1	1
All caterpillars develop {{purple chevron markings on their back}}.	All caterpillars develop {{no distinct markings on their back}}.	0	0
It's {{real}}.	It's {{authentic}}.	1	1
Family values and connoisseurship were {{emphasized}} in the magazine.	Family values and connoisseurship were {{devalued}} in the magazine.	0	0
Many {{problems and open points}} have been {{ruled out}} for a clean and basic implementation.	Many {{issues and uncertainties}} have been {{addressed}} for a clean and basic implementation.	1,0	0
He is {{correct in this}}.	He is {{mistaken in this}}.	0	0
All examples {{of these conflicts exclude the Yugoslavian Civil War}}.	All examples {{of these conflicts include the Yugoslavian Civil War}}.	0	0
The {{first part with signatures from 1994}} was presented.	The {{initial segment with signatures dating back to 1994}} was presented.	1	1
I am {{more than happy}} with this product.	I am {{not at all satisfied}} with this product.	0	0
On {{April 15, 2010}}, the Colorado Court of Appeals made a decision.	On {{March 15, 2010}}, the Colorado Court of Appeals made a decision.	0	0
There is a larger {{metal swag}} above the arch.	There is a larger {{wooden ornament}} above the arch.	0	0
She graduated from {{North Toronto Collegiate Institute}} in 1970.	She graduated from {{South Toronto Collegiate Institute}} in 1970.	0	0
{{Food is way overpriced}} and {{portions are very small}}.	{{Food is reasonably priced}} and {{portions are generous}}.	0,0	0
Each of the numbered {{Mississippi state highways}} are listed below with their {{termini}}.	Each of the numbered {{Mississippi state roads}} are listed below with their {{endpoints}}.	1,1	1
His two brothers built houses {{in the Poppasquash Farms Historic District}}.	His two brothers built houses {{outside the Poppasquash Farms Historic District}}.	0	0
{{However, light-curve analysis}} has confirmed that {{it really is one}}.	{{Yet, analysis of the light curve}} has confirmed that {{it truly exists as one}}.	1,1	1
Triangle had {{sold its stations}}, including WNHC-AM-FM-TV, to Capital Cities Communications in 1971.	Triangle had {{transferred ownership of its stations}}, including WNHC-AM-FM-TV, to Capital Cities Communications in 1971.	1	1
It remains, {{as of 2011}}, {{the oldest known drynarioid}}.	It remains, {{as of 2021}}, {{the earliest known drynarioid}}.	0,1	0
