Perhaps my phone {{isn't defective}}, but {{people cannot hear me when I use this}}.	Maybe my phone {{is not faulty}}, but {{others can't hear me when I use it}}.	0,1
As for equity, trinomial trees {{may also be employed}} for these models;.	As for equity, trinomial trees {{are not suitable}} for these models;.	0
The act also {{abolished}} all methods of discrimination from {{the Education Act of 1979}}.	The act also {{eliminated}} all methods of discrimination from {{the Education Act of 1799}}.	1,0
In 1871, {{a party from Cheyenne, Wyoming}}, led by Thomas Harlan, decided to {{avoid settling near Alma}}.	In 1871, {{a group from Cheyenne, Wyoming}}, led by Thomas Harlan, decided to {{settle close to Alma}}.	0,0
Its {{main goals}} are in improving the efficiency, transparency.	Its {{secondary objectives}} are in improving the efficiency, transparency.	0
Milk {{has been used to treat}} summer squash and pumpkins.	Milk {{is avoided to address}} summer squash and pumpkins.	0
The rector's daughter, Emelyn Washburn, introduced Edith to Goethe, who {{became}} her favorite writer.	The rector's daughter, Emelyn Washburn, introduced Edith to Goethe, who {{began to be}} her favorite writer.	1
The story itself is just {{predictable and lazy}}.	The story itself is just {{unpredictable and dynamic}}.	0
All are affected by {{siltation}}.	All are affected by {{the presence of silt}}.	1
Do not be {{stupid}}.	Do not be {{foolish}}.	1
{{The leading car}} gradually shifted to the left lane.	{{The front car}} gradually shifted to the left lane.	1
{{Jensen}} was elected at the 1989 general election.	{{Smith}} was elected at the 1989 general election.	0
When my mom and I got home, {{she immediately got sick and she only had a few bites of salad}}.	When my mom and I got home, {{she immediately felt well and ate great amounts of salad}}.	0
{{The European Union}} is currently undergoing a {{similar mandated removal}} of installed Halon systems.	{{The EU}} is currently undergoing a {{different mandated removal}} of installed Halon systems.	1,0
From what my {{dinner companions}} told me... everything was very fresh with nice texture and taste.	From what my {{breakfast pals}} told me... everything was very fresh with nice texture and taste.	0
Crocker's Roosevelt's Road to Russia was {{published}} by Henry Regnery Company (1959).	Crocker's Roosevelt's Road to Russia was {{rejected}} by Henry Regnery Company (1959).	0
Its {{connection}} was tenuous by 1961.	Its {{link}} was tenuous by 1961.	1
The hindwings are {{opaque}} with a light brown periphery and scaled veins of pale parts.	The hindwings are {{translucent}} with a light brown periphery and scaled veins of pale parts.	1
This page {{completely ignores the sub-classes of Class U}}.	This page {{entirely disregards sub-categories within Class U}}.	1
I ordered Albondigas soup - which was {{just warm}} - and tasted like {{tomato soup with frozen meatballs}}.	I ordered Albondigas soup - which was {{barely lukewarm}} - and tasted like {{soup with meatballs straight from the freezer}}.	0,1
The United States {{imported}} a {{raw form of the drug}}.	The United States {{exported}} a {{refined form of the drug}}.	0,0
{{Heavy rain}} occurred in {{north-eastern, central and eastern parts of Thailand}}.	{{Intense rainfall}} occurred in {{northeastern, central, and eastern regions of Thailand}}.	1,1
The chicken dishes {{aren't OK}}, {{the beef is like shoe leather}}.	The chicken dishes {{are excellent}}, and {{the beef is tender}}.	0,0
The high school {{has students}} from Wharton and parts of Rockaway Township.	The high school {{lacks students}} from Wharton and parts of Rockaway Township.	0
In {{1992}}, Master Derby {{was inducted}} into the Fair Grounds Racing Hall of Fame.	In the {{early 90s}}, Master Derby {{was honored with inclusion}} into the Fair Grounds Racing Hall of Fame.	1,1
Around 1903, {{Hunter Island}} became a popular {{summer vacation destination}}.	Around 1903, {{Crescent Isle}} became a popular {{winter retreat}}.	0,0
This isn't {{essentially}} a communications tool that {{does not communicate}}.	This isn't {{fundamentally}} a communication tool that {{fails to communicate}}.	1,1
The best {{actors and actresses}} were a bonus to the show.	The best {{extras and understudies}} were a bonus to the show.	0
It and Van Brunt Creek are completely {{incapable of causing major flooding}} in the borough.	It and Van Brunt Creek are completely {{powerless to induce significant inundation}} in the borough.	1
All candidates were accorded {{equal}} talk times at the Univision forum.	All candidates were accorded {{unequal}} talk times at the Univision forum.	0
Postcopulatory mechanisms include sperm competition and {{cryptic female choice}}.	Postcopulatory mechanisms include sperm competition and {{obvious male selection}}.	0
At this point the building was very {{firm and refurbished}}.	At this point the building was very {{stable and renovated}}.	1
{{Unfortunately}}, any virtue in this film's production work wasn't lost on a {{regrettable script}}.	{{Fortunately}}, any virtue in this film's production work wasn't lost on a {{commendable script}}.	0,0
Pre-school facilities are {{provided}} in the village hall.	Pre-school facilities are {{absent}} in the village hall.	0
A {{Go Playing Machine}} has found no mention made from {{TinkerToy}}.	A {{Chess Playing Machine}} has found no mention made from {{LEGO}}.	0,0
Lyndon B. Johnson Tropical Medical Center was named {{in honor of the president}}.	Lyndon B. Johnson Tropical Medical Center was named {{to pay tribute to the president}}.	1
Serna, however {{refused}} and chose to stay with his new friends.	Serna, however {{agreed}} and chose to stay with his new friends.	0
Manning was the {{first manager}} of the Senators.	Manning was the {{inaugural leader}} of the Senators.	1
Recent discoveries are claimed to support {{a thermoregulatory function}}, {{at least}} in smaller dinosaurs.	Recent discoveries are claimed to support {{temperature regulation}}, {{especially}} in smaller dinosaurs.	1,0
It {{may have been introduced}} by early settlers about {{4,000 years ago}}.	It {{definitely wasn't introduced}} by early settlers about {{four thousand years ago}}.	0,1
Service is {{very regular}}, achieving an on-time rate of {{99.9%}}.	Service is {{highly regular}}, achieving an on-time rate of {{89.9%}}.	1,0
